count,signal,attention,meditation,delta,theta,lalpha,hapha,lbeta,hbeta,lgamma,hgamma
1,0,83,51,94.7307968139648,48.7947006225586,10.4925003051758,13.7343997955322,2.27559995651245,12.9849996566772,1.34510004520416,95.2621994018555
2,0,83,63,10.3362998962402,4.52519989013672,3.10450005531311,1.99919998645782,0.475199997425079,1.52970004081726,0.176499992609024,19.4451999664307
3,0,74,51,16.7205009460449,22.6728000640869,1.39880001544952,1.63880002498627,0.963599979877472,3.37140011787415,0.710099995136261,21.5247993469238
4,0,81,51,73.2306976318359,15.7112998962402,6.96250009536743,1.16139996051788,1.67009997367859,5.02880001068115,0.303000003099442,29.8999996185303
5,0,80,53,69.7988967895508,13.6205997467041,6.72130012512207,2.15720009803772,4.1761999130249,3.2606999874115,0.340400010347366,28.6898002624512
6,51,80,53,105.915496826172,4.36630010604858,0.312700003385544,0.564199984073639,0.712999999523163,0.819599986076355,0.208599999547005,0.134700000286102
7,51,80,53,237.518493652344,18.1151008605957,0.756699979305267,1.84560000896454,5.26859998703003,3.42720007896423,0.183300003409386,4.09479999542236
8,51,80,53,190.879806518555,4.64919996261597,0.480800002813339,0.740100026130676,1.17289996147156,1.07469999790192,0.422600001096725,0.571900010108948
9,0,64,41,88.5146026611328,19.3101997375488,2.73060011863708,2.70970010757446,1.10590004920959,0.892000019550323,0.121799997985363,8.19519996643066
10,0,61,63,74.4372024536133,14.8156995773315,5.89230012893677,10.3172998428345,0.552699983119965,2.90429997444153,0.528299987316132,60.1599006652832
11,0,50,61,74.842903137207,7.11639976501465,2.10879993438721,0.431800007820129,0.388200014829636,0.697499990463257,8.25E-02,13.6204996109009
12,25,50,61,150.685195922852,58.0223007202148,11.3615999221802,36.3098983764648,9.16479969024658,6.66069984436035,1.55999994277954,77.5307998657227
13,26,50,61,86.1521987915039,2.10050010681152,1.46459996700287,0.229100003838539,0.431499987840652,0.195899993181229,5.26E-02,5.28170013427734
14,0,50,60,51.2789001464844,45.0989990234375,9.91049957275391,8.39480018615723,2.02309989929199,8.58850002288818,1.2610000371933,78.2470016479492
15,0,61,53,88.5206985473633,20.0345001220703,2.4407000541687,0.859600007534027,1.44000005722046,2.60640001296997,0.268999993801117,23.7390995025635
16,25,61,53,133.45719909668,140.958297729492,19.7824001312256,19.11669921875,4.31459999084473,12.0878000259399,1.50629997253418,28.9475994110107
17,0,67,43,79.5690994262695,28.3024997711182,6.59730005264282,5.20779991149902,2.03130006790161,7.70660018920898,2.34529995918274,51.3441009521484
18,0,75,41,154.682098388672,69.7437973022461,20.7437000274658,3.03279995918274,3.15989995002747,15.9568996429443,2.1340000629425,153.500900268555
19,0,90,30,53.7439002990723,7.77720022201538,1.11699998378754,0.856800019741058,0.783200025558472,6.38560009002686,0.282799988985062,32.0766983032227
20,0,100,35,80.9865036010742,9.97140026092529,2.03710007667542,0.939199984073639,0.500699996948242,4.14330005645752,0.241999998688698,22.9144992828369
21,0,93,27,19.6732006072998,23.2520008087158,2.58019995689392,2.03520011901855,0.450899988412857,2.98480010032654,0.190599992871284,25.7357006072998
